Close,Price,Beta
3946.36669921875,3946.36669921875,
3894.798828125,3894.798828125,
3902.0966796875,3902.0966796875,
3831.14892578125,3831.14892578125,
3818.196044921875,3818.196044921875,
3779.53271484375,3779.53271484375,
3803.4072265625,3803.4072265625,
3774.0712890625,3774.0712890625,
3743.81689453125,3743.81689453125,
3657.693115234375,3657.693115234375,
3653.150146484375,3653.150146484375,
3659.52978515625,3659.52978515625,
3552.818115234375,3552.818115234375,
3508.30615234375,3508.30615234375,
3491.8740234375,3491.8740234375,
3366.89306640625,3366.89306640625,
3376.36572265625,3376.36572265625,
3414.06298828125,3414.06298828125,
3428.561767578125,3428.561767578125,
3481.289794921875,3481.289794921875,
3490.56884765625,3490.56884765625,
3469.73876953125,3469.73876953125,
3455.8681640625,3455.8681640625,
3389.076171875,3389.076171875,
3393.76416015625,3393.76416015625,
3380.860107421875,3380.860107421875,
3380.860107421875,3380.860107421875,
3380.280517578125,3380.280517578125,
3444.123779296875,3444.123779296875,
3458.57470703125,3458.57470703125,
3507.725830078125,3507.725830078125,
3535.563720703125,3535.563720703125,
3514.347412109375,3514.347412109375,
3529.232666015625,3529.232666015625,
3485.6875,3485.6875,
3432.1865234375,3432.1865234375,
3425.5654296875,3425.5654296875,
3289.46875,3289.46875,
3189.184326171875,3189.184326171875,
3164.681396484375,3164.681396484375,
3182.949951171875,3182.949951171875,
3138.148193359375,3138.148193359375,
3123.552490234375,3123.552490234375,
3139.695068359375,3139.695068359375,
3164.43994140625,3164.43994140625,
3188.700927734375,3188.700927734375,
3210.64306640625,3210.64306640625,
3203.683349609375,3203.683349609375,
3298.98974609375,3298.98974609375,
3287.970703125,3287.970703125,
3332.820556640625,3332.820556640625,
3328.470947265625,3328.470947265625,
3356.50244140625,3356.50244140625,
3338.329833984375,3338.329833984375,
3316.388427734375,3316.388427734375,
3338.909912109375,3338.909912109375,
3344.419677734375,3344.419677734375,
3330.017333984375,3330.017333984375,
3333.690185546875,3333.690185546875,
3325.3779296875,3325.3779296875,
3499.46142578125,3499.46142578125,
3397.58251953125,3397.58251953125,
3430.156494140625,3430.156494140625,
3460.314453125,3460.314453125,
3442.335693359375,3442.335693359375,
3401.255615234375,3401.255615234375,
3381.440673828125,3381.440673828125,
3408.021728515625,3408.021728515625,
3360.851806640625,3360.851806640625,
3397.19580078125,3397.19580078125,
3419.1376953125,3419.1376953125,
3381.826904296875,3381.826904296875,
3380.860107421875,3380.860107421875,
3381.247314453125,3381.247314453125,
3347.7060546875,3347.7060546875,
3334.560546875,3334.560546875,
3291.449951171875,3291.449951171875,
3297.008544921875,3297.008544921875,
3287.451904296875,3287.451904296875,
3300.226806640625,3300.226806640625,
3336.991455078125,3336.991455078125,
3376.973876953125,3376.973876953125,
3385.750732421875,3385.750732421875,
3348.986083984375,3348.986083984375,
3360.20068359375,3360.20068359375,
3409.54541015625,3409.54541015625,
3428.07373046875,3428.07373046875,
3365.75927734375,3365.75927734375,
3339.0390625,3339.0390625,
3350.448974609375,3350.448974609375,
3309.3935546875,3309.3935546875,
3306.27294921875,3306.27294921875,
3359.3232421875,3359.3232421875,
3356.397705078125,3356.397705078125,
3355.71533203125,3355.71533203125,
3376.09619140625,3376.09619140625,
3344.59765625,3344.59765625,
3338.356689453125,3338.356689453125,
3316.4150390625,3316.4150390625,
3334.943603515625,3334.943603515625,
3327.044677734375,3327.044677734375,
3321.68115234375,3321.68115234375,
3299.836669921875,3299.836669921875,
3298.08154296875,3298.08154296875,
3184.959716796875,3184.959716796875,
3142.734130859375,3142.734130859375,
3171.599853515625,3171.599853515625,
3163.576171875,3163.576171875,
3140.18994140625,3140.18994140625,
3121.304931640625,3121.304931640625,
3090.286865234375,3090.286865234375,
3091.65673828125,3091.65673828125,
3110.7373046875,3110.7373046875,
3080.30615234375,3080.30615234375,
3068.368408203125,3068.368408203125,
3013.08349609375,3013.08349609375,
2990.284423828125,2990.284423828125,
2987.93603515625,2987.93603515625,
2971.497314453125,2971.497314453125,
2938.424072265625,2938.424072265625,
3008.28857421875,3008.28857421875,
2998.014404296875,2998.014404296875,
2967.093994140625,2967.093994140625,
2981.47802734375,2981.47802734375,
2971.105712890625,2971.105712890625,
2975.4111328125,2975.4111328125,
2970.127197265625,2970.127197265625,
2970.91015625,2970.91015625,
2957.30908203125,2957.30908203125,
2946.44775390625,2946.44775390625,
2951.340087890625,2951.340087890625,
3031.96826171875,3031.96826171875,
3035.882568359375,3035.882568359375,
2988.327392578125,2988.327392578125,
3073.0654296875,3073.0654296875,
3089.30810546875,3089.30810546875,
3027.173828125,3027.173828125,
3018.3671875,3018.3671875,
3045.667236328125,3045.667236328125,
3044.591064453125,3044.591064453125,
3030.89208984375,3030.89208984375,
3029.130615234375,3029.130615234375,
2982.75,2982.75,
2954.079833984375,2954.079833984375,
2983.826171875,2983.826171875,
3043.123291015625,3043.123291015625,
3057.017822265625,3057.017822265625,
3066.019775390625,3066.019775390625,
3044.982421875,3044.982421875,
3078.055419921875,3078.055419921875,
3104.57275390625,3104.57275390625,
3108.388916015625,3108.388916015625,
3101.050048828125,3101.050048828125,
3007.70166015625,3007.70166015625,
2996.546875,2996.546875,
2970.127197265625,2970.127197265625,
2893.804443359375,2893.804443359375,
2836.758544921875,2836.758544921875,
2833.82275390625,2833.82275390625,
2826.288330078125,2826.288330078125,
2851.53369140625,2851.53369140625,
2839.498046875,2839.498046875,
2924.137939453125,2924.137939453125,
2909.75390625,2909.75390625,
2962.103759765625,2962.103759765625,
2995.86181640625,2995.86181640625,
2963.179931640625,2963.179931640625,
2942.53369140625,2942.53369140625,
2896.642333984375,2896.642333984375,
2916.7763671875,2916.7763671875,
2917.66015625,2917.66015625,
2909.311767578125,2909.311767578125,
2961.365478515625,2961.365478515625,
2953.017333984375,2953.017333984375,
3018.330078125,3018.330078125,
3008.508544921875,3008.508544921875,
3029.821044921875,3029.821044921875,
3003.30322265625,3003.30322265625,
3003.0087890625,3003.0087890625,
2981.106689453125,2981.106689453125,
3003.4013671875,3003.4013671875,
2962.93701171875,2962.93701171875,
2936.81201171875,2936.81201171875,
2957.142333984375,2957.142333984375,
2938.383544921875,2938.383544921875,
2971.18701171875,2971.18701171875,
2992.597900390625,2992.597900390625,
3075.8837890625,3075.8837890625,
3050.249755859375,3050.249755859375,
3050.54443359375,3050.54443359375,
3046.812255859375,3046.812255859375,
3031.98193359375,3031.98193359375,
3091.499755859375,3091.499755859375,
3088.65185546875,3088.65185546875,
3094.34814453125,3094.34814453125,
3085.115966796875,3085.115966796875,
3063.5087890625,3063.5087890625,
3106.428466796875,3106.428466796875,
3080.59814453125,3080.59814453125,
3081.48193359375,3081.48193359375,
3077.455078125,3077.455078125,
3079.714111328125,3079.714111328125,
3123.22314453125,3123.22314453125,
3171.544677734375,3171.544677734375,
3180.384033203125,3180.384033203125,
3178.71435546875,3178.71435546875,
3151.01806640625,3151.01806640625,
3132.259033203125,3132.259033203125,
3134.91064453125,3134.91064453125,
3163.0,3163.0,
3172.52685546875,3172.52685546875,
3147.875244140625,3147.875244140625,
3160.348388671875,3160.348388671875,
3222.2236328125,3222.2236328125,
3223.402099609375,3223.402099609375,
3265.5361328125,3265.5361328125,
3250.902099609375,3250.902099609375,
3259.741455078125,3259.741455078125,
3221.437744140625,3221.437744140625,
3193.446533203125,3193.446533203125,
3188.83056640625,3188.83056640625,
3148.955322265625,3148.955322265625,
3169.77685546875,3169.77685546875,
3192.660888671875,3192.660888671875,
3158.6787109375,3158.6787109375,
3197.669921875,3197.669921875,
3236.75927734375,3236.75927734375,
3146.6962890625,3146.6962890625,
3150.52685546875,3150.52685546875,
3181.75927734375,3181.75927734375,
3209.652099609375,3209.652099609375,
3135.5,3135.5,
3135.5,3135.5,
3206.699951171875,3206.699951171875,
3163.60009765625,3163.60009765625,
3102.300048828125,3102.300048828125,
3122.60009765625,3122.60009765625,
3150.39990234375,3150.39990234375,
3162.5,3162.5,
3158.0,3158.0,
3200.10009765625,3200.10009765625,
3144.39990234375,3144.39990234375,
3123.89990234375,3123.89990234375,
3169.60009765625,3169.60009765625,
3225.300048828125,3225.300048828125,
2999.10009765625,2999.10009765625,
2991.5,2991.5,
2941.60009765625,2941.60009765625,
