Company,Growth,ROE,DebtEquity,Return,Volatility,Growth_N,ROE_N,Return_N,Volatility_N,DebtEquity_N,Score,Rating
ICICI Bank,26.98654911125621,16.2562075158101,0.6487604844081014,12.330412677091473,18.74063005612474,1.0,0.18604544857098387,0.9463183202011465,0.8689257239240963,0.321546338131662,0.6994540644086658,HOLD
HDFC Bank,19.35513922126162,8.773190408815736,0.9543063355044986,13.322985130108279,17.944914634957417,0.6701299338154807,0.011941079192618206,0.9703302638415873,1.0,0.0,0.5616168324045009,HOLD
ITC,10.776328722631376,49.61674309814144,0.004067396781810094,-26.78718273633628,18.5923893796445,0.29930818164124195,0.9622317016075296,0.0,0.8933446792915123,1.0,0.5047194387413441,HOLD
Reliance,7.0615405786936325,8.259962049335863,0.43830052182163187,14.549431570267268,20.7961469133096,0.13873530866415174,0.0,1.0,0.5303305718758021,0.5430274351590789,0.4420196278695261,AVOID
TCS,5.9906265437351855,51.24002701675884,0.09911773396935286,-24.74264218823712,20.980633023385472,0.09244471640375829,1.0,0.04946076456417824,0.4999410850303917,0.8999721719304521,0.4279407341662774,AVOID
Infosys,3.8519556082318718,28.18384649709951,0.08585452922802321,-16.736398008944363,24.01563609907241,0.0,0.46356105936240644,0.24314484618509982,0.0,0.9139299295015721,0.28022671164628876,AVOID
